id,eta,V,maxFlx,flxRat,label
12697,0.9408059807715154,0.3375568155908983,0.304852987906,4.26049800406,0
568,5.255094608270638,0.009270764408600132,49.681081772,2.7653306280799996,1
580,4.937288515991417,0.0177080812078533,24.8672886463,2.79961308388,1
684,4.8666449861760945,0.010948558150792665,24.804576493400003,2.77269088345,1
1072,3.9447929154373362,0.10909752308277777,12.764812793699999,4.20067911825,1
1090,5.5536355580663495,0.20411695824576534,49.719867631099994,4.980473463409999,1
2156,5.731729698739699,0.1945992179236686,49.74204830520001,4.89421264288,1
2230,2.547615232902536,0.2896342648951932,12.906518171300002,6.54468179288,1
2285,4.348866776251428,0.2880114204070927,24.765824559299997,6.52400280168,1
2358,3.4095279184386857,0.12966781056647633,6.21072760154,4.8362722651,1
2388,3.607310414236796,0.30522313012606284,6.19627849712,6.7473150322399995,1
2405,5.198365586065905,0.274418887088822,49.7312572756,6.353790740619999,1
2444,4.8512691925798705,0.1172671216977455,49.600711167700005,4.72828928219,1
2579,3.7880104986802006,0.3994655002097446,12.8345702516,8.14015940026,1
2739,2.2224907456648837,0.13270657228180657,1.5715572631499999,4.86314839951,1
2759,3.923206986588871,0.12668494196063176,12.890514293199999,4.81001901203,1
2778,5.11271738743364,0.43856645429444957,49.7025049186,8.81284042226,1
2797,4.939710819329768,0.4685299374370089,24.846776541799997,9.37090536291,1
2845,4.963743914692935,0.38029637595478977,49.696971349799995,7.831858788460001,1
2895,4.925994713701094,0.43500163982778006,24.873761927399997,8.74897287969,1
3002,2.636622031449076,0.13575856190155616,3.14852275111,4.89044500573,1
3033,4.737064596785488,0.38485917861963,24.806596608899998,7.904013138410001,1
3085,4.947265636614509,0.10768833002298192,24.8737410952,4.64695822501,1
3106,2.903229070086096,0.2822067306366576,3.15867323681,6.4506278229,1
1121,4.440699623797415,0.0902589085646904,24.748075154400002,4.063164388130001,1
1223,3.9447929154373362,0.10909752308277777,12.764812793699999,4.20067911825,1
1241,5.5536355580663495,0.20411695824576534,49.719867631099994,4.980473463409999,1
1272,4.440699623797415,0.0902589085646904,24.748075154400002,4.063164388130001,1
1385,3.470122694653016,0.09033283044018019,6.240112937769999,4.06063870906,1
1403,5.461745772881996,0.08305496232028471,49.7362979771,4.0118046352,1
1477,4.252184928304558,0.17969061146290544,12.9214336899,4.762812251280001,1
1554,3.9794546173401066,0.15221768245204126,12.902177536199998,4.532009356690001,1
1733,5.305852972885047,0.1811117051125397,49.6718331366,4.77371370652,1
1756,4.971953712725946,0.19770721689132148,24.839837299899997,4.92279934108,1
1812,5.0643837190668926,0.14986294247643037,49.6192072671,4.51311697181,1
1990,4.8218872005736335,0.1447658394478261,24.869270208299998,4.47138429924,1
2069,2.7468003797475253,0.09364429807669736,3.1552875709099997,4.093109901,1
7425,5.789001349764264,0.01622192434980395,49.7111751919,1.9848341615599998,1
7509,5.867587871481679,0.019558583030694875,49.7378674301,1.99258200873,1
7524,4.0367018212813495,0.022251874033692394,6.22625563577,1.9996646967299998,1
7562,4.215191797934426,0.009451484590276532,6.23766540151,1.9700349317400003,1
7587,5.2492857490165425,0.02207517373523844,24.8613326648,1.9983387030500002,1
7608,5.354837694940504,0.019115255200004073,24.8785354336,1.99174900551,1
7647,2.2483810054550246,0.029829215538723235,0.772829672394,2.0235804833400004,1
7697,2.9659600709577196,0.022549197038642898,1.5864481478499999,2.00099910306,1
7776,4.300420368716666,0.013512576886773972,12.8256790589,1.97997446713,1
7810,3.451098680208979,0.024696136492422943,3.1575195748900002,2.00596206949,1
7911,0.764879588927138,0.011152922139236295,0.17114405050599998,2.04675851347,1
7938,5.395194333241098,0.021460673209042977,49.73613063770001,1.9971463807099998,1
7973,4.812624969961663,0.015588121167682132,12.9414007352,1.9835629654,1
8024,3.456398711338466,0.009674093419888691,49.7734130209,1.9703025380099999,1
8039,5.212053921002348,0.016620395673530543,24.8466530003,1.9858657157900002,1
8055,4.4390482827352775,0.021835660678354112,12.9045998836,1.9979104038900002,1
8132,5.530716903567302,0.008873811568271606,24.874948136100002,1.9685326582799998,1
8363,6.045974052234812,0.022620186305215405,49.761904918,1.99950398746,1
3182,4.528635324820298,0.4737765986137551,49.6006969691,9.47264686887,1
6453,5.817425274095083,0.019626863915436766,49.723283270900005,1.99284566427,1
6992,5.860685729265528,0.009771535742515188,49.717798409,1.9703880740400002,1
7013,5.4651715558649805,0.01591843029129995,24.864161266700002,1.9843962698400002,1
7106,5.428087280243827,0.009264931963870779,24.8633457077,1.96932210162,1
